# Int_pr, E_atm_pr, Intstor_pr, R_pr_meas, R_pr_swds, R_pr_mss, R_pr_up, Intcp_cp, E_atm_cp, Intstor_cp, R_cp_meas, R_cp_swds, R_cp_mss, R_cp_up, Intcp_op, E_atm_op, Intstor_op, P_op_gw, R_op_meas, R_op_swds, R_op_mss, R_op_up, Sum_r_up, Init_stor_up, Act_infilcap_up, Tfac_up, E_atm_up, I_up_uz, Fin_stor_up, R_up_meas, R_up_ow, Sum_i_uz, R_meas_uz, Theta_h3_uz, T_alpha_uz, T_atm_uz, Gwl_up_uz, Gwl_low_uz, Theta_eq_uz, Capris_max_uz, P_uz_gw, Theta_uz, Sum_p_gw, R_meas_gw, Sc_gw, H_gw, S_gw_out, D_gw_ow, Gwl, Gwl_sl, Sum_r_swds, R_meas_swds, Sum_r_mss, R_meas_mss, Q_swds_ow, Q_mss_out, Q_mss_ow, So_swds, So_mss, Stor_swds, Stor_mss, Prec_ow, E_atm_ow, Sum_r_ow, Sum_d_ow, Sum_q_ow, Sum_so_ow, R_meas_ow, Q_ow_out, Owl
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0311522,1.536008533,-0.064000356,193.3695947,-0.053897105,0,0.206245885,1.502666586,0.041666667,-0.052719207,1.502666586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.430447803,0,0,0,-0.048404019,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0253356,1.53558683,-0.063982785,193.2691894,-0.053882308,0,0.206266659,1.502873878,0.041666667,-0.05279149,1.502873878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.432409094,0,0,0,-0.048462857,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0195314,1.535166027,-0.063965251,193.1687665,-0.053867543,0,0.206287388,1.503080729,0.041666667,-0.052863619,1.503080729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.434366202,0,0,0,-0.048521571,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0137396,1.534746121,-0.063947755,193.0683262,-0.053852808,0,0.206308073,1.503287138,0.041666667,-0.052935595,1.503287138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.436319137,0,0,0,-0.048580159,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0.032877619,1.5,1.6,194.0079601,1.53432711,-0.063930296,193.0993789,-0.053838106,0,0.206328714,1.503493107,0.041666667,-0.053007417,1.503493107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036603896,0,-1.438267909,0,0,0,-0.044246154,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,194.002193,1.533908993,-0.063912875,193.1632917,-0.053823434,0,0.206349311,1.503698637,0.041666667,-0.053079086,1.503698637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.440212527,0,0,0,-0.043206376,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9964382,1.533491767,-0.06389549,193.2271872,-0.053808794,0,0.206369864,1.503903729,0.041666667,-0.053150602,1.503903729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.442153,0,0,0,-0.04326459,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9906956,1.533075429,-0.063878143,193.2910654,-0.053794185,0,0.206390373,1.504108385,0.041666667,-0.053221966,1.504108385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44408934,0,0,0,-0.04332268,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9849652,1.532659979,-0.063860832,193.3549262,-0.053779608,0,0.206410838,1.504312604,0.041666667,-0.053293178,1.504312604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.446021555,0,0,0,-0.043380647,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9792471,1.532245414,-0.063843559,193.4187698,-0.053765061,0,0.20643126,1.504516389,0.041666667,-0.053364238,1.504516389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.447949654,0,0,0,-0.04343849,1.5
