date,P_atm,E_pot_OW,Ref.grass
8/1/1990 9:00,0,0.111571992,0.100210164
8/1/1990 10:00,0,0,0
8/1/1990 11:00,0,0,0
8/1/1990 12:00,0,0.226505538,0.203439561
8/1/1990 13:00,0,0,0
8/1/1990 14:00,0,0,0
8/1/1990 15:00,0,0.12100892,0.108686091
8/1/1990 16:00,0,0,0
8/1/1990 17:00,0,0,0
8/1/1990 18:00,0,0,0
8/1/1990 19:00,0,0,0
8/1/1990 20:00,0,0,0
8/1/1990 21:00,0,0,0
8/1/1990 22:00,0,0,0
8/1/1990 23:00,0,0,0
9/1/1990 0:00,0,0,0
9/1/1990 1:00,0,0,0
9/1/1990 2:00,0,0,0
9/1/1990 3:00,0,0,0
9/1/1990 4:00,0,0,0
9/1/1990 5:00,0,0,0
9/1/1990 6:00,0,0,0
9/1/1990 7:00,0,0,0
9/1/1990 8:00,0,0,0
9/1/1990 9:00,0,0.118037431,0.106017201
9/1/1990 10:00,0,0,0
9/1/1990 11:00,0,0,0
9/1/1990 12:00,0,0.134225128,0.120556439
9/1/1990 13:00,0,0,0
9/1/1990 14:00,0,0,0
9/1/1990 15:00,0,0.080721358,0.072501175
9/1/1990 16:00,0,0,0
9/1/1990 17:00,0,0,0
9/1/1990 18:00,0,0,0
9/1/1990 19:00,0,0,0
9/1/1990 20:00,0,0,0
9/1/1990 21:00,0,0,0
9/1/1990 22:00,0,0,0
9/1/1990 23:00,0,0,0
10/1/1990 0:00,0,0,0
10/1/1990 1:00,0,0,0
10/1/1990 2:00,0,0,0
10/1/1990 3:00,0,0,0
10/1/1990 4:00,0,0,0
10/1/1990 5:00,0,0,0
10/1/1990 6:00,0,0,0
10/1/1990 7:00,0,0,0
10/1/1990 8:00,0,0,0
10/1/1990 9:00,0,0.020719728,0.018609754
10/1/1990 10:00,0,0,0
10/1/1990 11:00,0,0,0
10/1/1990 12:00,0,0.064545792,0.057972832
10/1/1990 13:00,0,0,0
10/1/1990 14:00,0,0,0
10/1/1990 15:00,0,0.027662482,0.024845499
10/1/1990 16:00,0,0,0
10/1/1990 17:00,0,0,0
10/1/1990 18:00,0,0,0
10/1/1990 19:00,1.5,0,0
10/1/1990 20:00,1,0,0
10/1/1990 21:00,0.5,0,0
10/1/1990 22:00,0,0,0
10/1/1990 23:00,0,0,0
11/1/1990 0:00,0,0,0
11/1/1990 1:00,0,0,0
11/1/1990 2:00,0,0,0
11/1/1990 3:00,0,0,0
11/1/1990 4:00,0,0,0
11/1/1990 5:00,0,0,0
11/1/1990 6:00,0,0,0
11/1/1990 7:00,0.5,0,0
11/1/1990 8:00,0.5,0,0
