theta_rz_0,theta_rz_1,theta_rz_2,theta_rz_3,theta_rz_4,theta_rz_5,theta_rz_6,theta_rz_7,theta_rz_8,theta_rz_9
193.6890308,193.671084,193.6890308,193.5057509,193.7124101,172.4971397,29.14141042,193.6890308,193.5057509,193.6890308
193.693305,193.6519744,193.693305,193.4865173,193.6934255,172.5276225,29.14408235,193.693305,193.4865173,193.693305
193.6975571,193.664359,193.6975571,193.5301486,193.7056292,172.3331693,29.1467405,193.6975571,193.5301486,193.6975571
193.6975488,193.6594682,193.6975488,193.5929022,193.700653,172.3340513,29.14672941,193.7020986,193.5929022,193.6975488
193.6927379,193.6547599,193.6927379,193.6135034,193.6958591,172.330963,29.1437045,193.703981,193.6135034,193.6927379
193.6879597,193.6500605,193.6879597,193.6087704,193.6910743,172.3278972,29.14069459,193.6991477,193.6087704,193.6879597
193.6831914,193.6453709,193.6831914,193.604167,193.6862995,172.3248408,29.13769067,193.6943563,193.604167,193.6831914
193.678433,193.640691,193.678433,193.5995726,193.6815346,172.3217939,29.13469274,193.6895746,193.5995726,193.678433
193.6736844,193.6360208,193.6736844,193.5949877,193.6767797,172.3187564,29.13170079,193.6848029,193.5949877,193.6736844
193.6689458,193.6313603,193.6689458,193.5904123,193.6720345,172.3157283,29.12871482,193.6800412,193.5904123,193.6689458
193.6642169,193.6267095,193.6642169,193.5858464,193.6672993,172.3127096,29.12573481,193.6752893,193.5858464,193.6642169
193.6594979,193.6220684,193.6594979,193.5812899,193.6625739,172.3097001,29.12276074,193.6705473,193.5812899,193.6594979
193.6547887,193.6174368,193.6547887,193.5767428,193.6578583,172.3067,29.11979261,193.6658151,193.5767428,193.6547887
193.6500893,193.6128149,193.6500893,193.5722052,193.6531525,172.3037091,29.1168304,193.6610928,193.5722052,193.6500893
193.6453996,193.6082025,193.6453996,193.567677,193.6484564,172.3007274,29.1138741,193.6563803,193.567677,193.6453996
193.6407196,193.6035997,193.6407196,193.5631581,193.6437701,172.297755,29.1109237,193.6516775,193.5631581,193.6407196
193.6215092,193.5842774,193.6215092,193.5437139,193.6245689,172.252841,29.06668728,193.6325001,193.5437139,193.6215092
193.6022838,193.5649403,193.6022838,193.5242552,193.6053527,172.2079143,29.02243373,193.6133077,193.5242552,193.6022838
193.5830433,193.5455884,193.5830433,193.5047819,193.5861214,172.1629747,28.97816307,193.5941001,193.5047819,193.5830433
193.5637879,193.5262218,193.5637879,193.4852941,193.5668751,172.1180223,28.93387534,193.5748775,193.4852941,193.5637879
193.5445175,193.5068405,193.5445175,193.4657919,193.5476138,172.0730572,28.88957058,193.5556399,193.4657919,193.5445175
193.5252322,193.4874444,193.5252322,193.4462752,193.5283376,172.0280795,28.84524882,193.5363873,193.4462752,193.5252322
193.505932,193.4680337,193.505932,193.4267441,193.5090465,171.983089,28.80091009,193.5171197,193.4267441,193.505932
